show_id,title,original_title,start_year,end_year,description,content_rating,average_rating,num_votes,total_seasons,total_episodes,primary_image_url
tt0098898,Prime Suspect,Prime Suspect,1991.0,1991.0,A female police detective investigates a series of serial murders while dealing with sexist hostility from her male comrades.,TV-14,8.3,9694.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BYmFlZGZiNTItNWM5ZC00YTFlLThkNjctYjA5Y2RkMzhjZWVkXkEyXkFqcGc@._V1_.jpg
tt0099864,It,It,1990.0,1990.0,"In 1960, seven pre-teen outcasts fight an evil demon who poses as a child-killing clown. Thirty years later, they reunite to stop the demon once and for all when it returns to their hometown.",TV-14,6.8,144801.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BZDFhODExOTctNTFkZS00NjE1LWE2MWMtY2Q1ZThhMGY5NjJkXkEyXkFqcGc@._V1_.jpg
tt0103516,Prime Suspect 2,Prime Suspect 2,1992.0,1992.0,Detective Chief Inspector Jane Tennison's (Dame Helen Mirren's) investigation of a murder is complicated with the unexpected participation of her secret lover in her detective unit.,,8.1,4254.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BMTU2ODczMjQ0Nl5BMl5BanBnXkFtZTcwNTM2MDAwMQ@@._V1_.jpg
tt0106112,Return to Lonesome Dove,Return to Lonesome Dove,1993.0,1993.0,Head back to Lonesome Dove in this sequel to one of the most-loved miniseries of all time.,TV-14,7.2,3040.0,1.0,4.0,https://m.media-amazon.com/images/M/MV5BNjgwNDk3NzAtN2Q2MC00MTE1LWE1MjAtNjQ5ZTRlZDIzZWZiXkEyXkFqcGc@._V1_.jpg
tt0108941,The Stand,The Stand,1994.0,1994.0,"After a deadly plague kills most of the world's population, the remaining survivors split into two groups - one led by a benevolent elder and the other by a malevolent being - to face each other in a final battle between good and evil.",Not Rated,7.1,39526.0,1.0,4.0,https://m.media-amazon.com/images/M/MV5BNGE3YWRjNjEtNDZiMS00NmM5LTkyNjEtNWQzZTU4ODliZjdmXkEyXkFqcGc@._V1_.jpg
tt0110426,Macross Plus,Macross Plus,1994.0,1994.0,Two old friends/rivals find themselves rival test pilots in competing projects while a mutual old flame returns to them with her own secrets.,Not Rated,7.8,4105.0,1.0,4.0,https://m.media-amazon.com/images/M/MV5BOWYzNTZkNTYtMjYxNy00MGExLWIxNWMtYzA0OWFkZDUyNzBmXkEyXkFqcGc@._V1_.jpg
tt0112040,The Langoliers,The Langoliers,1995.0,1995.0,"Most of the passengers on an airplane disappear, and the remainder land the plane in a mysteriously barren airport.",PG-13,6.1,32725.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BYWQ3MzI3ZGEtNjJhOC00ZmFhLWJmNTUtYWQyNTFiNTlhNTEyXkEyXkFqcGc@._V1_.jpg
tt0120570,From the Earth to the Moon,From the Earth to the Moon,1998.0,1998.0,Dramatized portrayal of the Apollo manned space program.,TV-14,8.6,13919.0,1.0,12.0,https://m.media-amazon.com/images/M/MV5BNTJlOWUxMjEtZmU0ZC00ODI3LWIzNzctOTBjNGVjMDEzZWU2XkEyXkFqcGc@._V1_.jpg
tt0130414,Merlin,Merlin,1998.0,1998.0,Legendary wizard Merlin tells his story of his war against Queen Mab of the Sidhe and his creation of Camelot.,Not Rated,7.1,23001.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BZDE5YWExMGMtYTA5ZS00ODNlLTkzMjEtN2U5NDUyYWIxNDZhXkEyXkFqcGc@._V1_.jpg
tt0135659,Storm of the Century,Storm of the Century,1999.0,1999.0,A dangerous blizzard hits an isolated town and brings along a mysterious stranger intent on terrorizing people for his own desires.,PG-13,7.3,25270.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BYzljZTBhYjItYTNlNi00OWU1LTkyZTYtZTkxZmUwOTQ4MGZkXkEyXkFqcGc@._V1_.jpg
tt0178145,Joan of Arc,Joan of Arc,1999.0,1999.0,"Spurred by divine voices and visions, fifteenth century teen Joan d'Arc leads French forces against the English.",TV-PG,6.6,6451.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BNzRlNTMwYzUtMTFlNi00NjIwLWFjNjctOGJkYTRmZTk5YWM4XkEyXkFqcGc@._V1_.jpg
tt0207275,The 10th Kingdom,The 10th Kingdom,2000.0,2000.0,"A father and daughter are caught in a parallel universe where the great Queens Snow White, Cinderella and Riding Hood III have had their kingdoms fragmented by warring trolls, giants and goblins.",Not Rated,8.2,20871.0,1.0,10.0,https://m.media-amazon.com/images/M/MV5BZTMwYjBjOGYtZWE5Zi00Y2U4LWFiNWItOWJhZGRiYWFmYWM2XkEyXkFqcGc@._V1_.jpg
tt0244353,The Mists of Avalon,The Mists of Avalon,2001.0,2001.0,"Tales of Camelot and Avalon, told from the perspective of the women of Uther and Arthur Pendragon's world.",Unrated,6.8,10533.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BMTMyODk5OTU2Nl5BMl5BanBnXkFtZTcwMDUwNDkxMQ@@._V1_.jpg
tt0314979,Battlestar Galactica,Battlestar Galactica,2003.0,2003.0,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.",TV-14,8.5,82377.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BNjYwYTVjMWMtZDEwYS00ODUzLWIwN2UtYTRjODUxYzU4MWEzXkEyXkFqcGc@._V1_.jpg
tt0324264,Tipping the Velvet,Tipping the Velvet,2002.0,2002.0,The story of Nan Astley who falls in love with three different women on her journey to stardom and happiness in 1887 Victorian England.,,7.7,8793.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BYWE4NDAyODQtOTgxNS00MmZjLWFjMzYtZmJlODAxZDI5YjI3XkEyXkFqcGc@._V1_.jpg
tt0340477,Helen of Troy,Helen of Troy,2003.0,2003.0,"The abduction of beautiful Helen, wife of Spartan King Menelaus, by Paris of Troy triggers a long war.",Unrated,6.2,6841.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BMTIyNTMxNTI4Ml5BMl5BanBnXkFtZTcwNDM1NTMyMQ@@._V1_.jpg
tt0346293,Hitler: The Rise of Evil,Hitler: The Rise of Evil,2003.0,2003.0,"A profile of the life of Adolf Hitler with a unique slant, as a child and his rise through the ranks of the National Socialist German Workers Party prior to World War II.",TV-14,7.2,24150.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BMjdhODFjM2EtZjFlNS00ZmRkLThiMWItNjc2ODFmNmE3ZWNjXkEyXkFqcGc@._V1_.jpg
tt0355987,Salem's Lot,Salem's Lot,2004.0,2004.0,Writer Ben Mears returns to his childhood home of Jerusalem's Lot and discovers that it is being terrorized by vampires.,TV-14,6.2,12141.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BMTQzMzQ2Nzg5M15BMl5BanBnXkFtZTYwOTU1Mjk2._V1_.jpg
tt0097810,Peter Brook's the Mahabharata,Peter Brook's the Mahabharata,1989.0,1990.0,"Jealousy and hatred is what separates the Pandavas and Kauravas. The Kauravas fear the Pandavas are after the throne of their father. Yudhishthira of the Pandavas gets told by the deity, Krishna, that he will become king. A war is inevitable.",Not Rated,7.8,1253.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BMTcwMzg5MjExMl5BMl5BanBnXkFtZTcwODA0ODMyMQ@@._V1_.jpg
tt0079844,Salem's Lot,Salem's Lot,1979.0,1979.0,A novelist and a young horror fan attempt to save a small New England town which has been invaded by vampires.,PG,6.7,30260.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BNDBiMTM5MGEtNzA2Ni00MWJiLWI3NzItODFjZDQ3ZjFiMGI3XkEyXkFqcGc@._V1_.jpg
tt0118641,The Arrow,The Arrow,1997.0,1997.0,The true story of how Canada built and destroyed the world's most advanced fighter plane back in the 1950s.,,7.5,889.0,,,https://m.media-amazon.com/images/M/MV5BMTYwMDU0Mjk0MF5BMl5BanBnXkFtZTcwMDY1ODAwMQ@@._V1_.jpg
tt0259127,Attila,Attila,2001.0,2001.0,"In 400 AD, the Roman Empire is the greatest power in the world. But to the east a fierce people arose: the Huns. They believe in a prophecy about a great king who will unite the tribes and challenge Rome for control of the world.",Unrated,6.6,11245.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BMjAwNjA0MDc3N15BMl5BanBnXkFtZTcwNjUzMzgxMQ@@._V1_.jpg
tt0318997,Angels in America,Angels in America,2003.0,2003.0,"In 1985, Prior is diagnosed with AIDS and his lover Louis deserts him. Powerful lawyer Roy Cohn tempts Mormon and closeted gay Joe Pitt to the dark side. Joe and Louis get it on while Joe's wife Harper hallucinates an imaginary friend.",TV-MA,8.1,30469.0,1.0,6.0,https://m.media-amazon.com/images/M/MV5BZmQyYzY2YjQtNDEyNS00NjM3LWI3Y2QtYTk0NWQwZjg0ZTVlXkEyXkFqcGc@._V1_.jpg
tt0423651,Fingersmith,Fingersmith,2005.0,2005.0,"In Victorian England, Sue, a young thief, participates in a scam to defraud a rich heiress by becoming her maid. Things take an unexpected turn and Sue's plan goes horribly wrong.",Not Rated,7.8,9916.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BMTU3ODA3NDE5OF5BMl5BanBnXkFtZTcwNDM1NjAzMQ@@._V1_.jpg
tt0164292,The Temptations,The Temptations,1998.0,1998.0,"Biography of the singers who formed the hit Motown musical act, The Temptations.",TV-PG,8.4,5453.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BNTk5YmRlYWQtNDVhNC00YTIzLWE0OGQtNTNhNTVlYmQwZDIwXkEyXkFqcGc@._V1_.jpg
tt0376591,Empire Falls,Empire Falls,2005.0,2005.0,"A decaying New England town is the backdrop for its unique citizens, led by unassuming restaurant manager Miles Roby.",TV-14,7.2,6532.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BOWMyN2UwNDctZmU3NS00ZDQyLWE4ZDItYTgyNjkzNmZmZDExXkEyXkFqcGc@._V1_.jpg
tt0783612,When the Levees Broke: A Requiem in Four Acts,When the Levees Broke: A Requiem in Four Acts,2006.0,2007.0,An examination of the U.S. government's response to Hurricane Katrina.,TV-MA,8.5,4935.0,1.0,5.0,https://m.media-amazon.com/images/M/MV5BYmRmZjBlZTUtYmM2NC00YmVlLTg5NWItMzE0ZGFjM2M4ZThkXkEyXkFqcGc@._V1_.jpg
tt0118414,The Odyssey,The Odyssey,1997.0,1997.0,Follows Odysseus on his wanderings back to Ithaca following the Trojan War.,PG-13,7.0,16667.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BN2M2MTkwNTEtZTU1Mi00YmVmLTg4YjgtOTM5MTk4Y2Q5OTgwXkEyXkFqcGc@._V1_.jpg
tt0461872,Human Trafficking,Human Trafficking,2005.0,2005.0,"Girls that have been kidnapped and sold as slaves, police find and help them back to their home and family.",13+,7.5,7283.0,1.0,4.0,https://m.media-amazon.com/images/M/MV5BNzQwNzJhNzgtMmM1OC00YzhhLTg3MDgtMTVmYWRhMTNlNDY0XkEyXkFqcGc@._V1_.jpg
tt0137863,Eight Fatal Shots,Kahdeksan surmanluotia,1972.0,1972.0,"Pasi shoots four policemen for drunkenness, leading to poverty, trouble with authorities, and family arguments. The movie is a flashback examining the events leading to the tragic shooting.",,8.3,1072.0,1.0,4.0,https://m.media-amazon.com/images/M/MV5BYTFkMTJlZGItMTJlMS00NTEwLWE5NTktOWI3ZWZhYjZkZTA2XkEyXkFqcGc@._V1_.jpg
tt0088693,Alice in Wonderland,Alice in Wonderland,1985.0,1985.0,"Alice is in Looking Glass Land, where she meets many creatures and attempts to avoid the Jabberwocky (Tom McLoughlin), a monster that appears due to her being afraid.",TV-PG,7.2,3442.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BMTI1NTQzNTgtNTU5Mi00NWY2LTg5ZmYtNTMxYjUyNTUyNzQ3XkEyXkFqcGc@._V1_.jpg
tt0075296,Sybil,Sybil,1976.0,1976.0,A young woman whose childhood was so harrowing to her that she developed sixteen different personalities is treated by a doctor.,TV-14,7.9,7629.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BMTQwOTkyOTc1M15BMl5BanBnXkFtZTgwNjQ2MzU0MjE@._V1_.jpg
tt0430484,The Power of Nightmares,The Power of Nightmares: The Rise of the Politics of Fear,2004.0,2004.0,A series of three documentaries about the use of fear for political gain.,,8.7,4629.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BMWMyNjAwMDctYTYzNS00YzQ1LTkxYzctYjgxNjA2OGFiOWYyXkEyXkFqcGc@._V1_.jpg
tt0109036,Abraham,Abraham,1993.0,1993.0,Abram a tribal leader denies all the local deities and finds the true God. Through many trials and tribulations he strengthens his faith.,,7.0,1896.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BMzkxMTAwMTYtZjQ2YS00NjA0LWIyMjktYzE1NGMxODI2ZGIxXkEyXkFqcGc@._V1_.jpg
tt0090608,All Passion Spent,All Passion Spent,1986.0,1986.0,"After decades as a politician's wife, 85-year-old Lady Slane retires to a cottage after her husband dies. Struggling to rediscover her identity, she contends with intrusive family members.",,7.9,314.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BMTgxOTgyNzExMF5BMl5BanBnXkFtZTcwNTI5ODIzMQ@@._V1_.jpg
tt0463850,10.5: Apocalypse,10.5: Apocalypse,2006.0,2006.0,A massive earthquake creates a chain of events that threaten two of the largest nuclear reactors.,,4.4,2838.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BMTg3NzIyOTE2OV5BMl5BanBnXkFtZTcwNDYxMzgzMQ@@._V1_.jpg
tt0070904,World on a Wire,Welt am Draht,1973.0,1973.0,"In the future, Simulacron, a computer project simulating reality, encounters strange occurrences after its leader's death. Dr. Stiller questions the sudden disappearance of a friend and wonders if Simulacron holds the answers.",Not Rated,7.7,6970.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BMWQxMGM2YTAtMzJlMS00MTRkLWJkNDUtMzhkOGI1ZWE0OTRkXkEyXkFqcGc@._V1_.jpg
tt0424600,The Andromeda Strain,The Andromeda Strain,2008.0,2008.0,"A crack team of top scientists work feverishly in a secret, state-of-the-art laboratory to discover what has killed the citizens of a small town and learn how this deadly contagion can be stopped.",,6.1,14754.0,1.0,4.0,https://m.media-amazon.com/images/M/MV5BMTgwMDM0NzUyN15BMl5BanBnXkFtZTcwODk5MTE3MQ@@._V1_.jpg
tt1079959,The Color of Magic,The Colour of Magic,2008.0,2008.0,"A cowardly wizard is roped into a life of adventure. A tale from the first two books of Terry Pratchett's fantasy series ""Discworld"".",Not Rated,6.9,10889.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BMTIzMjIyMjkyNV5BMl5BanBnXkFtZTcwNDM0NDAwMg@@._V1_.jpg
tt0472027,John Adams,John Adams,2008.0,2008.0,"The life of one of the USA's Founding Fathers, its second President, and his role in the nation's first 50 years.",TV-14,8.4,37850.0,1.0,7.0,https://m.media-amazon.com/images/M/MV5BMTQwNDc0MDE2MF5BMl5BanBnXkFtZTcwODYwNjE2MQ@@._V1_.jpg
tt0279077,FLCL,FLCL,2000.0,2001.0,Mysterious things start happening when 12-year-old Naota meets a strange woman on a Vespa wielding a big guitar.,TV-14,8.1,20487.0,1.0,6.0,https://m.media-amazon.com/images/M/MV5BYjg2YzVmZWItYWMyMy00YjI2LTk0YTMtMDU1NGU0ZTRiODNlXkEyXkFqcGc@._V1_.jpg
tt0871427,Babylon 5: The Lost Tales,Babylon 5: The Lost Tales,2007.0,2007.0,"It's the tenth anniversary of the Interstellar Alliance, and President Sheridan is on his way to Babylon 5 for the celebration. However, he must first deal with a threat from the future, while Lochley handles a case of demonic possession.",Not Rated,6.4,4835.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BMTg0MjYzMjc2MF5BMl5BanBnXkFtZTgwNzgwNzAwNzE@._V1_.jpg
tt0910812,Tin Man,Tin Man,2007.0,2007.0,"A re-imagining of L. Frank Baum's classic ""The Wizard of Oz.""",TV-PG,7.0,14849.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BMjNjZWZiOTYtNGIzZC00ZGZiLWI4NjMtOTYzMTNlYWVhYmI0XkEyXkFqcGc@._V1_.jpg
tt0409572,Into the West,Into the West,2005.0,2005.0,"Tales from the American West in the 19th century, told from the perspective of two families, one of white settlers and one of Native Americans.",TV-14,8.0,7784.0,1.0,6.0,https://m.media-amazon.com/images/M/MV5BMTI1NTg4NTE2M15BMl5BanBnXkFtZTcwMzUwNjAzMQ@@._V1_.jpg
tt0387736,Farscape: The Peacekeeper Wars,Farscape: The Peacekeeper Wars,2004.0,2004.0,"When the evil Scarran Empire initiates a great war, the Peacekeeper Alliance has only one hope: to reunite human astronaut John Crichton, once absorbed by the Peacekeeper galaxy through a wormhole.",TV-PG,8.2,17081.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BYmJhMTAwNjMtM2NlZi00ZmUxLTg5YjktNDAxZjZkNjk4MjA1XkEyXkFqcGc@._V1_.jpg
tt0233044,Dinotopia,Dinotopia,2002.0,2002.0,"After a plane crash, two opposing half-brothers find themselves on an amazing lost island where enlightened pacifist humans and intelligent talking dinosaurs have created a utopian medieval society. But imminent disaster approaches.",TV-PG,6.5,6817.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BYjQzNzg1MzAtMzAwMC00OTY2LWIzYmYtZTk4ZDQ4OGI2Nzg0XkEyXkFqcGc@._V1_.jpg
tt0407384,Earthsea,Earthsea,2004.0,2005.0,A reckless young man is destined to become the greatest sorcerer the mystical land of Earthsea has ever known.,,5.7,6559.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BMTk0MjY2NTEyMV5BMl5BanBnXkFtZTcwMDMzMzcyMQ@@._V1_.jpg
tt0115398,Triumph of the Nerds,Triumph of the Nerds,1996.0,1996.0,"Three part documentary series that tells the story of the birth of the personal computer, with the candid recollections of PC pioneers, like Steve Wozniak, Steve Jobs and Bill Gates.",,8.4,1400.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BMTYwOTI5NzA4Ml5BMl5BanBnXkFtZTcwMDg3NzAyMQ@@._V1_.jpg
tt0208629,Nuremberg,Nuremberg,2000.0,2000.0,The dramatized account of the war crime trials following the defeat of Nazi Germany in World War II.,TV-14,7.3,7169.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BYmI3YjJhMjgtYWRlZi00ZTFjLWFkMWQtMTZhYTFkNmUyZmM3XkEyXkFqcGc@._V1_.jpg
tt1227926,Dr. Horrible's Sing-Along Blog,Dr. Horrible's Sing-Along Blog,2008.0,2008.0,An aspiring supervillain must balance his career and his pursuit of a beautiful do-gooder.,TV-PG,8.4,44537.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BOWZiNjY1YjQtMWE1Yy00YmNjLThiYWUtZjUwNmM0ZGRlM2QzXkEyXkFqcGc@._V1_.jpg
tt1117667,XIII: The Conspiracy,XIII: The Conspiracy,2008.0,2008.0,The assassination of the US President places a man in the center of an even larger plot.,R,6.5,7291.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BMTI1ZDM3ZjktYTM0YS00MTBmLThiYzUtYjgyMzc2MjlkZGMwXkEyXkFqcGc@._V1_.jpg
tt1264363,Knights of Bloodsteel,Knights of Bloodsteel,2009.0,2009.0,Four ordinary citizens battle an evil warlord who tries to take over their kingdom.,,4.6,705.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BMjIxNjk3MDMwOF5BMl5BanBnXkFtZTcwOTA5NTA4Mg@@._V1_.jpg
tt0080196,Berlin Alexanderplatz,Berlin Alexanderplatz,1980.0,1980.0,"In late-1920s Berlin, Franz Biberkopf is released from prison and vows to go straight. However, he soon finds himself embroiled in the city's criminal underworld.",Not Rated,8.4,5010.0,1.0,14.0,https://m.media-amazon.com/images/M/MV5BYzM1N2I3MDUtYmM3Ny00OTVkLTkxOTQtYzFiMWFlNDQyMmE4XkEyXkFqcGc@._V1_.jpg
tt0075572,Roots,Roots,1977.0,1977.0,A dramatization of author Alex Haley's family line from ancestor Kunta Kinte's enslavement to his descendants' liberation.,TV-14,8.4,19343.0,1.0,8.0,https://m.media-amazon.com/images/M/MV5BMzUwMjM5YjAtNGUzNi00ZjNkLTllNTItNDcxMGEzY2RhZmNiXkEyXkFqcGc@._V1_.jpg
tt0087400,Heimat: A Chronicle of Germany,Heimat - Eine Chronik in elf Teilen,1984.0,1984.0,The village of Schabbach experiences the shifting fortunes of Germany from 1919 to 1982.,,8.6,3404.0,1.0,11.0,https://m.media-amazon.com/images/M/MV5BMzkzZjdlOTMtODljYS00ZGY5LWJhZGUtOTI0YTM5Njg0MmE3XkEyXkFqcGc@._V1_.jpg
tt1117666,Lost in Austen,Lost in Austen,2008.0,2008.0,"Amanda, an ardent Jane Austen fan, lives in present day London with her boyfriend Michael, until she finds she's swapped places with Austen's fictional creation Elizabeth Bennet.",TV-14,7.4,11681.0,1.0,4.0,https://m.media-amazon.com/images/M/MV5BNmJmZmRjMmMtZjAwYS00YTM0LTgxYmYtZGUxM2IzNGJiMjNjXkEyXkFqcGc@._V1_.jpg
tt1141486,Paris,Paris,2007.0,,Documentary series that charts the history of France's capital and its emergence as the world's most stylish and romantic city.,,7.6,57.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BNTQyZTNhNTEtYzY5OC00ZDUyLWI4MmUtNDNhYWM2ZmFjNjhkXkEyXkFqcGc@._V1_.jpg
tt1260995,Meteor,Meteor,2009.0,2009.0,"Two episode television mini-series covering a meteor, Kassandra, heading to Earth on a collision course, an ""extinction level event"".",TV-14,4.2,2438.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BZGEyNWIwNTMtNWFkNC00YWYzLTgzYmEtM2M0YzMyMWYxNmRlXkEyXkFqcGc@._V1_.jpg
tt1461312,Alice,Alice,2009.0,2009.0,"Everything you know about Alice's Adventures in Wonderland is about to be turned upside down in this modern-day mini-series. The cast includes Kathy Bates, Caterina Scorsone, Matt Frewer, Harry Dean Stanton, and Tim Curry.",Not Rated,7.2,9930.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BODRjOWUzMzMtOTcxNy00Yjg1LTk3YjYtNDZmOTE5OWQwZmRhXkEyXkFqcGc@._V1_.jpg
